"","A","D","H","results","B365H","B365D","B365A"
"46",0.05,0.1,0.85,"H",1.57,3.6,6
"47",0.01,0,0.99,"H",1.22,5.5,13
"48",0.24,0.13,0.63,"H",3.8,3.3,1.95
"49",0.77,0.13,0.1,"A",4.5,3.6,1.72
"50",0.24,0.03,0.73,"H",2.05,3.2,3.75
"51",0.09,0.04,0.87,"H",2.05,3.2,3.6
"52",0.29,0.06,0.65,"H",2.87,3.2,2.4
"53",0.02,0.15,0.83,"H",2,3.2,3.75
"54",0.18,0.19,0.63,"D",2.15,3.1,3.5
"55",0.07,0.16,0.77,"H",1.75,3.4,4.75
"56",0.25,0.06,0.69,"H",2.25,3.2,3.1
"57",0.49,0.39,0.12,"D",2.4,3.2,2.6
"58",0.91,0.02,0.07,"A",4,3.5,1.83
"59",0.07,0.01,0.92,"H",2,3.3,3.6
"60",0.17,0.18,0.65,"A",2.8,3.1,2.5
"61",0.16,0.71,0.13,"D",2.8,3.1,2.5
"62",0.06,0.72,0.22,"D",1.95,3.25,3.8
"63",0.04,0.02,0.94,"H",1.36,4.33,9
"64",0.02,0.01,0.97,"H",1.44,4,7.5
"65",0.91,0.05,0.04,"A",3,3.1,2.37
"66",0.75,0.05,0.2,"A",6,3.8,1.53
"67",0.25,0.16,0.59,"A",2,3.1,4
"68",0.29,0.2,0.51,"H",2.7,3.1,2.6
"69",0.08,0.29,0.63,"H",1.72,3.4,5
"70",0.15,0.02,0.83,"H",2,3.3,3.6
"71",0.09,0.04,0.87,"H",2.1,3.25,3.4
"72",0.07,0.33,0.6,"D",2.3,3.25,2.75
"73",0.05,0.34,0.61,"D",1.72,3.4,5
"74",0.07,0.04,0.89,"H",1.57,3.6,6
"75",0.04,0.73,0.23,"D",1.9,3.25,4
"76",0.1,0.23,0.67,"D",1.2,5.75,15
"77",0.17,0.13,0.7,"A",1.9,3.25,4
"78",0.16,0.45,0.39,"A",2.6,3.4,2.5
"79",0.26,0.03,0.71,"A",1.95,3.3,3.8
"80",0.24,0.03,0.73,"H",1.72,3.5,4.75
"81",0.06,0.25,0.69,"D",1.44,4.2,7
"82",0.89,0.07,0.04,"A",3.6,3.3,2
"83",0.11,0.07,0.82,"H",1.8,3.4,4.33
"84",0.85,0.05,0.1,"A",3.6,3.3,2
"85",0.28,0.11,0.61,"A",2.25,3.2,3.1
"86",0.86,0.04,0.1,"A",3.6,3.3,2
"87",0.24,0.12,0.64,"A",2.25,3.1,3.2
"88",0.76,0.1,0.14,"A",5,3.6,1.66
"89",0.4,0.35,0.25,"D",2.25,3,3
"90",0.39,0.22,0.39,"H",1.66,3.6,5
"91",0.03,0.15,0.82,"H",1.22,5.5,13
"92",0.31,0.02,0.67,"A",1.61,3.6,5.5
"93",0.25,0.01,0.74,"H",1.57,3.8,5.5
"94",0.08,0.13,0.79,"H",2.3,3.25,3
"95",0.37,0.04,0.59,"A",4.5,3.6,1.72
"96",0.02,0.58,0.4,"A",2,3.3,3.6
"97",0.11,0.31,0.58,"A",2.05,3.3,3.5
"98",0.22,0.06,0.72,"A",1.66,3.6,5
"99",0,0.14,0.86,"D",1.22,5.5,13
"100",0.22,0.04,0.74,"A",1.66,3.6,5
"101",0.76,0.2,0.04,"D",5.5,3.8,1.57
"102",0.48,0.32,0.2,"D",1.57,3.8,5.5
"103",0.56,0.35,0.09,"D",4.75,3.75,1.66
"104",0.23,0.06,0.71,"A",1.4,4.33,7.5
"105",0.18,0.08,0.74,"A",2.05,3.3,3.5
"106",0.09,0.08,0.83,"H",1.4,4.75,6.5
"107",0.4,0.15,0.45,"A",1.8,3.5,4.2
"108",0.59,0.14,0.27,"A",3.2,3.5,2.1
"109",0.34,0.14,0.52,"D",3.25,3,2.3
"110",0.54,0.16,0.3,"A",1.85,3.6,3.8
"111",0.05,0.13,0.82,"D",2.15,3.5,3.1
"112",0.14,0.29,0.57,"A",1.83,3.25,3.75
"113",0.58,0.05,0.37,"A",2.8,3.2,2.25
"114",0.04,0.02,0.94,"H",2.25,3.25,2.75
"115",0.1,0.17,0.73,"H",2,3.25,3.25
"116",0.08,0.02,0.9,"H",2.2,3.2,2.87
"117",0.04,0.05,0.91,"H",1.57,3.6,6.5
"118",0.36,0.22,0.42,"A",1.62,3.6,6
"119",0.19,0.16,0.65,"A",2.05,3.25,3.75
"120",0.08,0.1,0.82,"H",1.44,4.2,7.5
"121",0.59,0.31,0.1,"A",2.6,3.2,2.4
"122",0.72,0.19,0.09,"A",3.3,3.25,2.2
"123",0.78,0.17,0.05,"A",2.9,3.3,2.4
"124",0.93,0.03,0.04,"A",2.7,3.25,2.6
"125",0.75,0.24,0.01,"A",6,4,1.53
"126",0,0.03,0.97,"H",1.33,4.6,10
"127",0.13,0.56,0.31,"D",1.83,3.4,4.5
"128",0.2,0.27,0.53,"A",2.3,3.2,3.2
"129",0.07,0.23,0.7,"H",1.91,3.3,4.2
"130",0.05,0.33,0.62,"H",2.5,3.25,2.8
"131",0.01,0.06,0.93,"H",1.25,5.5,11
"132",0.65,0.16,0.19,"D",4,3.4,1.91
"133",0.33,0.03,0.64,"H",1.53,4,6
"134",0.62,0.18,0.2,"D",5.5,3.5,1.67
"135",0.04,0.23,0.73,"H",2.1,3.4,3.4
"136",0.43,0.05,0.52,"H",3.2,3.25,2.25
"137",0.05,0.04,0.91,"H",1.22,6,13
"138",0.45,0.2,0.35,"D",3.2,3.3,2.25
"139",0.05,0.1,0.85,"H",1.36,4.5,9
"140",0.11,0.23,0.66,"H",1.16,6.5,15
"141",0.01,0.03,0.96,"H",1.53,3.75,7
"142",0.28,0.04,0.68,"H",2,3.3,3.8
"143",0.05,0.17,0.78,"H",1.62,3.75,5.5
"144",0.09,0.19,0.72,"H",1.91,3.4,4
"145",0.79,0.13,0.08,"D",3.4,3.4,2.1
"146",0.04,0.32,0.64,"D",1.8,3.3,4.5
"147",0.14,0.05,0.81,"H",2,3.2,3.75
"148",0.65,0.05,0.3,"A",2.4,3.2,3
"149",0.07,0.07,0.86,"H",1.85,3.5,4.2
"150",0.05,0.09,0.86,"H",1.57,3.8,6
"151",0.58,0.15,0.27,"A",2.1,3.3,3.5
"152",0.05,0.11,0.84,"H",2.2,3.25,3.25
"153",0.31,0.03,0.66,"H",1.8,3.4,4.5
"154",0.11,0.31,0.58,"A",2.1,3.2,3.5
"155",0.3,0.04,0.66,"H",2,3.3,3.8
"156",0.31,0.08,0.61,"A",3.4,3.2,2.2
"157",0.06,0.26,0.68,"D",1.67,3.6,5.25
"158",0.01,0.08,0.91,"H",1.91,3.4,4
"159",0.29,0.4,0.31,"A",1.91,3.4,4
"160",0.24,0.23,0.53,"D",2.2,3.4,3.2
"161",0.07,0.39,0.54,"A",2.1,3.4,3.4
"162",0,0.01,0.99,"H",1.61,3.6,5.5
"163",0.33,0.09,0.58,"D",2.1,3.25,3.6
"164",0.03,0.22,0.75,"H",1.57,3.8,6
"165",0.02,0.02,0.96,"H",1.53,4,6
"166",0.05,0.2,0.75,"D",2.2,3.3,3.25
"167",0.19,0.09,0.72,"H",2,3.3,3.8
"168",0.33,0.03,0.64,"H",1.62,3.75,5.5
"169",0.01,0.03,0.96,"H",2.3,3.25,3.1
"170",0.14,0.03,0.83,"H",2.05,3.3,3.6
"171",0.03,0.66,0.31,"D",3.4,3.25,2.1
"172",0.36,0.02,0.62,"H",2.1,3.4,3.4
"173",0.31,0.09,0.6,"H",1.9,3.4,4
"174",0.5,0.04,0.46,"A",2.1,3.25,3.6
"175",0,0.03,0.97,"H",1.72,3.5,5
"176",0.27,0.26,0.47,"D",3.5,3.5,2.05
"177",0.45,0.04,0.51,"H",2.5,3.4,2.75
"178",0.15,0.11,0.74,"H",2.4,3.3,2.87
"179",0.93,0.05,0.02,"A",4.2,3.75,1.8
"180",0,0,1,"H",1.18,6.5,15
"181",0.28,0.07,0.65,"H",2.37,3.3,3
"182",0.43,0.02,0.55,"A",2.1,3.3,3.5
"183",0.08,0.12,0.8,"H",1.95,3.25,4.2
"184",0.01,0.15,0.84,"H",2.1,3.3,3.5
"185",0.01,0.27,0.72,"D",1.36,4.5,9
"186",0.1,0.15,0.75,"A",2,3.4,3.75
"187",0.02,0.07,0.91,"D",2,3.3,3.8
"188",0.44,0.03,0.53,"A",2,3.4,3.7
"189",0.06,0.56,0.38,"D",2.05,3.5,3.6
"190",0.59,0.09,0.32,"A",4.75,3.5,1.75
"191",0.27,0.12,0.61,"H",2.5,3.3,2.8
"192",0.07,0.29,0.64,"D",1.91,3.4,4
"193",0,0,1,"H",1.33,4.75,9.5
"194",0.06,0.02,0.92,"H",2,3.4,3.75
"195",0,0.01,0.99,"H",1.25,5.5,12
"196",0.1,0.18,0.72,"H",2.25,3,3.5
"197",0.05,0.04,0.91,"H",1.4,3.75,7.5
"198",0.13,0.04,0.83,"H",1.44,4.2,7.5
"199",0,0,1,"H",1.14,7.5,18
"200",0.06,0.38,0.56,"H",1.9,3.3,4
"201",0.18,0.18,0.64,"D",2.7,3.4,2.5
"202",0.11,0.31,0.58,"D",2.05,3.4,3.6
"203",0.46,0.13,0.41,"H",2,3.5,3.6
"204",0.8,0.08,0.12,"A",6.5,3.6,1.57
"205",0.36,0.34,0.3,"A",1.53,3.8,7.5
"206",0.34,0.29,0.37,"D",2.1,3.4,3.4
"207",0.15,0.03,0.82,"H",2.5,3.4,2.75
"208",0.12,0.22,0.66,"H",2,3.25,4
"209",0.39,0.28,0.33,"H",3.75,3.25,2.05
"210",0,0.03,0.97,"H",1.16,6.5,17
"211",0.02,0.22,0.76,"D",1.9,3.4,4
"212",0.23,0.25,0.52,"D",2.4,3.3,2.87
"213",0.16,0.05,0.79,"H",2.62,3.3,2.62
"214",0.48,0.02,0.5,"A",2.87,3.4,2.37
"215",0.81,0.15,0.04,"D",6.5,4,1.53
"216",0.05,0.22,0.73,"D",2.05,3.25,3.75
"217",0.46,0.11,0.43,"D",1.73,3.6,4.75
"218",0.25,0.03,0.72,"H",2.2,3.4,3.25
"219",0.44,0.4,0.16,"D",2.4,3.3,3
"220",0.65,0.21,0.14,"A",2.4,3.2,2.6
"221",0.62,0.08,0.3,"A",5.5,3.75,1.62
"222",0.01,0.17,0.82,"H",1.44,4.33,7
"223",0.05,0.08,0.87,"H",1.57,3.8,6
"224",0.2,0.14,0.66,"D",2.1,3.3,3.5
"225",0.14,0.12,0.74,"H",2.5,3.25,2.8
"226",0.11,0.05,0.84,"H",1.72,3.5,5
"227",0.07,0.83,0.1,"D",2.1,3.25,3.6
"228",0.13,0.09,0.78,"D",2.37,3.2,2.62
"229",0.67,0.1,0.23,"A",2.2,3.25,3.25
"230",0.54,0.13,0.33,"A",2.75,3.25,2.6
"231",0.28,0.55,0.17,"D",2.5,3.25,2.8
"232",0.2,0.09,0.71,"A",1.8,3.5,4.5
"233",0.57,0.1,0.33,"A",2.62,3.25,2.62
"234",0.14,0.7,0.16,"D",2.4,3.2,3.1
"235",0.43,0.03,0.54,"A",2.3,3.25,3.1
"236",0.23,0.12,0.65,"A",2,3.25,3.25
"237",0.3,0.06,0.64,"A",1.8,3.4,4.75
"238",0.01,0.01,0.98,"H",1.28,5.5,9.5
"239",0.47,0.15,0.38,"A",2.2,3.3,3.3
"240",0.22,0.51,0.27,"D",2.3,3.25,3.1
"241",0.23,0.02,0.75,"H",3.4,3.4,2.1
"242",0.42,0,0.58,"A",2.3,3.3,3.1
"243",0.81,0.16,0.03,"A",3.75,3.25,1.83
"244",0.02,0.07,0.91,"H",1.72,3.6,4.75
"245",0.92,0.05,0.03,"A",3.75,3.4,2
"246",0.02,0.24,0.74,"D",1.91,3.4,4.33
"247",0.79,0.13,0.08,"A",5.75,3.8,1.6
"248",0.23,0.06,0.71,"H",2.05,3.4,3.6
"249",0.05,0.22,0.73,"D",2.1,3.3,3.5
"250",0.43,0.07,0.5,"D",2.1,3.3,3.5
"251",0.31,0.09,0.6,"D",2.8,3.3,2.5
"252",0.1,0.01,0.89,"A",2.6,3.2,2.62
"253",0.21,0.22,0.57,"H",2.05,3.4,3.6
"254",0.03,0.06,0.91,"H",1.66,3.6,5.5
"255",0.01,0.02,0.97,"H",1.22,6,13
"256",0.09,0.13,0.78,"H",2,3.3,3.8
"257",0.06,0.34,0.6,"D",2.2,3.3,3.25
"258",0.16,0.02,0.82,"H",3,3.4,2.3
"259",0.02,0.07,0.91,"H",2.35,3.25,3
"260",0.07,0.07,0.86,"H",2.15,3.25,3.4
"261",0.05,0.19,0.76,"D",1.5,3.75,7
"262",0.46,0.17,0.37,"A",2.4,3.25,2.9
"263",0.32,0.08,0.6,"H",2.4,3.2,3
"264",0.27,0.1,0.63,"H",2,3.4,3.6
"265",0.03,0.08,0.89,"D",1.61,3.75,5.5
"266",0.7,0.11,0.19,"A",3.6,3.4,2
"267",0.55,0.08,0.37,"A",2.62,3.25,2.62
"268",0.03,0,0.97,"H",1.14,7.5,17
"269",0.12,0.13,0.75,"A",2.1,3.3,3.5
"270",0.03,0.12,0.85,"H",2.1,3.4,3.4
"271",0.02,0.09,0.89,"H",1.29,5.5,10
"272",0.04,0.02,0.94,"H",1.3,5,9.5
"273",0.02,0.1,0.88,"H",1.33,4.75,9.5
"274",0.82,0.16,0.02,"A",7,4.33,1.44
"275",0.04,0.37,0.59,"D",2,3.4,3.7
"276",0.04,0.2,0.76,"H",2.25,3.25,3.2
"277",0.15,0.16,0.69,"H",1.67,3.6,5.25
"278",0.32,0.06,0.62,"H",2.1,3.4,3.4
"279",0.13,0.24,0.63,"D",2.1,3.2,3.5
"280",0.41,0.23,0.36,"A",2.62,3.4,2.6
"281",0,0,1,"H",1.25,5.5,12
"282",0.05,0.03,0.92,"H",1.36,4.75,8
"283",0.09,0.09,0.82,"H",2.05,3.3,3.6
"284",0.18,0.04,0.78,"H",2.87,3.3,2.4
"285",0.03,0.24,0.73,"A",2.65,3.3,2.6
"286",0.02,0.04,0.94,"H",1.65,3.6,5.5
"287",0.01,0.14,0.85,"D",2.1,3.3,3.5
"288",0.74,0.25,0.01,"D",4,3.4,1.9
"289",0.02,0.13,0.85,"H",2.1,3.25,3.6
"290",0.14,0.05,0.81,"H",1.4,4.5,8
"291",0.16,0.04,0.8,"H",2.2,3.25,3.3
"292",0.57,0.34,0.09,"A",2.37,3.25,3
"293",0,0.02,0.98,"H",1.57,3.5,6.5
"294",0.02,0.44,0.54,"D",2.1,3.3,3.5
"295",0.28,0.08,0.64,"H",3.1,3.4,2.25
"296",0.63,0.35,0.02,"A",2.5,3.4,2.75
"297",0.68,0.03,0.29,"A",2.37,3.4,2.87
"298",0.48,0.03,0.49,"H",2.87,3.4,2.37
"299",0.13,0.13,0.74,"H",1.75,3.5,4.75
"300",0.02,0.07,0.91,"H",2.1,3.3,3.5
"301",0.22,0.09,0.69,"A",1.75,3.5,4.75
"302",0.13,0.7,0.17,"A",4.5,3.25,1.83
"303",0.29,0.57,0.14,"D",2.62,3.3,2.62
"304",0.09,0.02,0.89,"H",1.53,3.8,6.5
"305",0.65,0.27,0.08,"H",2.3,3.4,3
"306",0.15,0.15,0.7,"H",2,3.4,3.75
"307",0.01,0.03,0.96,"H",1.73,3.6,4.75
"308",0.01,0.19,0.8,"D",1.33,4.75,9
"309",0.61,0.07,0.32,"A",2.5,3.25,2.8
"310",0.02,0.22,0.76,"D",1.8,3.6,4.33
"311",0.83,0.12,0.05,"D",2.88,3.3,2.4
"312",0.6,0.08,0.32,"H",2.25,3.5,3
"313",0.25,0.14,0.61,"H",2.2,3.5,3.1
"314",0.19,0.13,0.68,"H",1.6,4,5.25
"315",0.27,0.1,0.63,"H",2.37,3.25,2.87
"316",0.42,0.05,0.53,"H",2.4,3.3,2.88
"317",0.82,0.11,0.07,"A",4,3.75,1.83
"318",0.05,0.31,0.64,"H",1.67,3.75,5
"319",0.07,0.18,0.75,"D",2.5,3.3,2.75
"320",0.21,0.04,0.75,"H",1.67,3.75,5
"321",0.09,0.18,0.73,"H",2.2,3,3.5
"322",0.02,0.06,0.92,"H",1.25,5.25,13
"323",0.63,0.33,0.04,"D",2,3.6,3.4
"324",0.76,0.15,0.09,"A",3.4,3.3,2.15
"325",0,0.1,0.9,"H",1.36,4.75,8.5
"326",0.15,0.02,0.83,"H",1.91,3.6,3.8
"327",0.17,0.15,0.68,"D",3.3,3.3,2.15
"328",0.82,0.13,0.05,"A",9,4.33,1.36
"329",0.34,0.09,0.57,"A",2.37,3,3.1
"330",0.72,0.04,0.24,"A",4.2,3.2,1.9
"331",0.21,0.31,0.48,"D",2.2,3.2,3.25
"332",0.33,0.34,0.33,"D",2.5,3.1,2.8
"333",0.36,0.21,0.43,"D",1.5,3.75,7
"334",0.37,0.16,0.47,"H",1.57,3.8,6
"335",0.01,0.12,0.87,"H",1.08,10,26
"336",0.05,0.36,0.59,"H",2.05,3.3,3.6
"337",0.58,0.25,0.17,"A",3.4,3.4,2.1
"338",0.37,0.06,0.57,"H",3.75,3.5,1.95
"339",0.09,0.08,0.83,"H",2.45,3.3,2.8
"340",0.32,0.18,0.5,"D",2.4,3.3,2.88
"341",0.04,0.79,0.17,"D",1.73,3.6,4.75
"342",0.04,0.46,0.5,"D",2.4,3.3,2.88
"343",0.37,0.11,0.52,"H",3.6,3.3,2.1
"344",0.18,0.62,0.2,"A",1.83,3.5,4.33
"345",0.16,0.24,0.6,"H",1.83,3.4,4.5
"346",0.36,0.11,0.53,"H",2.75,3.3,2.5
"347",0.1,0.19,0.71,"H",3.8,3.3,2
"348",0.06,0.45,0.49,"D",2,3.4,3.75
"349",0.17,0.3,0.53,"D",1.8,3.5,4.5
"350",0.7,0.04,0.26,"A",5.5,3.75,1.62
"351",0.18,0.38,0.44,"D",1.91,3.5,4
"352",0.04,0.29,0.67,"D",1.8,3.5,4.5
"353",0.29,0.04,0.67,"H",1.73,3.5,5
"354",0,0.16,0.84,"H",2,3.4,3.75
"355",0.55,0.1,0.35,"A",3.75,3.5,1.95
"356",0.02,0.09,0.89,"H",1.17,7,15
"357",0.35,0.13,0.52,"A",2.1,3.3,3.5
"358",0.04,0.03,0.93,"H",1.67,3.7,5
"359",0.01,0.01,0.98,"H",1.5,4,6.5
"360",0.05,0.07,0.88,"H",1.83,3.3,4.33
"361",0.7,0.15,0.15,"D",6.5,4,1.53
"362",0.03,0.01,0.96,"H",1.22,6,12
"363",0.47,0.04,0.49,"A",2.1,3.3,3.5
"364",0.16,0.2,0.64,"D",2.3,3.4,3
"365",0.73,0.04,0.23,"A",3.25,3.3,2.2
"366",0.28,0.03,0.69,"H",1.62,3.75,5.5
"367",0.03,0.02,0.95,"H",1.75,3.5,4.75
"368",0.4,0.11,0.49,"H",1.85,3.6,4
"369",0.43,0.05,0.52,"A",2.63,3.25,2.63
"370",0.19,0.17,0.64,"A",1.57,3.6,6
"371",0.77,0.04,0.19,"A",5.5,3.8,1.62
"372",0.08,0.12,0.8,"H",1.17,6.5,17
"373",0.38,0.04,0.58,"A",4.6,3.6,1.75
"374",0.57,0.09,0.34,"A",3.2,3.4,2.2
"375",0.09,0.02,0.89,"H",1.85,3.5,4.2
"376",0.26,0.06,0.68,"D",3.1,3.2,2.25
"377",0.1,0.18,0.72,"H",2.1,3.3,3.5
"378",0.32,0.05,0.63,"H",1.75,3.6,4.6
"379",0,0,1,"H",1.17,7,17
"380",0.39,0.07,0.54,"A",2.5,3.4,2.7
"381",0.37,0.02,0.61,"A",2.2,3.3,3.3
"382",0.48,0.03,0.49,"A",2.2,3.3,3.25
"383",0.19,0.67,0.14,"D",2,3.4,3.75
"384",0.03,0.12,0.85,"H",2.1,3.3,3.5
"385",0.06,0.02,0.92,"A",1.6,3.6,6
"386",0.35,0.11,0.54,"H",2.63,3.3,2.63
"387",0.07,0.18,0.75,"D",1.33,4.75,10
"388",0.06,0.65,0.29,"H",2,3.5,3.6
"389",0.83,0.11,0.06,"D",7,4.33,1.44
"390",0.03,0.09,0.88,"H",2,3.4,3.75
"391",0.06,0.51,0.43,"D",2,3.4,3.75
"392",0.06,0.03,0.91,"H",1.44,4,7.5
"393",0.53,0.17,0.3,"D",2.6,3.25,2.7
"394",0.08,0.07,0.85,"A",1.55,3.75,6
"395",0.26,0.02,0.72,"A",2.5,3.3,2.75
"396",0.05,0.28,0.67,"D",1.44,4.2,7.5
"397",0.09,0.08,0.83,"H",2,3.3,3.75
"398",0.02,0.07,0.91,"H",1.91,3.4,4
"399",0.07,0.07,0.86,"H",1.29,5.25,10
"400",0.74,0.11,0.15,"A",7.5,4.5,1.4
"401",0.04,0.25,0.71,"H",2,3.2,3.75
"402",0.78,0.09,0.13,"H",6,3.8,1.57
"403",0.13,0.09,0.78,"H",2.05,3.25,3.75
"404",0.07,0.04,0.89,"D",1.95,3.4,3.8
"405",0.13,0.07,0.8,"H",2.5,3.25,2.8
"406",0.05,0.3,0.65,"H",2.15,3.25,3.4
"407",0.05,0.07,0.88,"H",1.9,3.25,4
"408",0.05,0.1,0.85,"H",2.1,3.2,3.6
"409",0.55,0.05,0.4,"D",2.4,3.2,3
"410",0.03,0.04,0.93,"H",2.5,3.2,2.88
"411",0,0,1,"H",1.17,7,15
"412",0.1,0.14,0.76,"A",2.35,3.3,3
"413",0.53,0.2,0.27,"D",5.25,3.75,1.65
"414",0.12,0.05,0.83,"H",1.44,4.2,7.5
"415",0.65,0.06,0.29,"A",2.6,3.2,2.62
"416",0.03,0.03,0.94,"H",2.25,3.25,3.25
"417",0.07,0.41,0.52,"A",1.5,4.2,6.5
"418",0.04,0.52,0.44,"D",2,3.4,3.75
"419",0.45,0.04,0.51,"H",2.25,3.4,3.2
"420",0.29,0.08,0.63,"A",2,3.4,3.75
"421",0.14,0.09,0.77,"D",2.1,3.3,3.5
"422",0.9,0.09,0.01,"A",7.5,4,1.44
"423",0.53,0.02,0.45,"H",3.5,3.3,2.1
"424",0,0.04,0.96,"H",1.14,8,15
"425",0.03,0.05,0.92,"H",1.2,6.5,13
"426",0,0.06,0.94,"H",1.36,5,7.5
"427",0.23,0.19,0.58,"H",2.1,3.3,3.5
"428",0,0.03,0.97,"H",1.5,3.75,7.5
"429",0.04,0.74,0.22,"D",2.3,3.25,3.1
"430",0.04,0.83,0.13,"D",2.4,3.3,2.88
"431",0.6,0.02,0.38,"A",2.6,3.2,2.62
"432",0.57,0.12,0.31,"D",4.33,3.6,1.8
"433",0.11,0.19,0.7,"H",1.8,3.5,4.5
"434",0.05,0.56,0.39,"H",2.3,3.2,3.2
"435",0.04,0.34,0.62,"D",1.67,3.5,5.25
"436",0.09,0.02,0.89,"A",2,3.3,3.75
"437",0.02,0.02,0.96,"H",1.67,3.5,5.5
"438",0.11,0.2,0.69,"D",2.25,3.3,3.2
"439",0.56,0.2,0.24,"D",3,3.2,2.3
"440",0.3,0.06,0.64,"H",2.5,3.2,2.88
"441",0.18,0.18,0.64,"A",2.5,3.25,2.8
"442",0,0.18,0.82,"H",2.7,3.4,2.5
"443",0.03,0,0.97,"H",1.73,3.5,5
"444",0.3,0.19,0.51,"H",2.2,3.3,3.25
"445",0.08,0.08,0.84,"D",1.85,3.4,4.33
"446",0,0.01,0.99,"H",1.57,4,5.5
"447",0.11,0.62,0.27,"A",1.91,3.4,4
"448",0.88,0.06,0.06,"A",11,5.75,1.25
"449",0.41,0.12,0.47,"H",2.5,3.3,2.75
"450",0.11,0.66,0.23,"D",1.67,3.75,5
"451",0.08,0.17,0.75,"H",2.38,3.25,3
"452",0.2,0.05,0.75,"A",2.5,3.25,2.8
"453",0.03,0.55,0.42,"H",1.91,3.4,4
"454",0.1,0.29,0.61,"H",1.9,3.25,4
"455",0.12,0.01,0.87,"H",1.67,3.6,5.25
"456",0.08,0.08,0.84,"A",1.62,3.6,5.75
"457",0.02,0.19,0.79,"H",1.73,3.6,4.75
"458",0.37,0.34,0.29,"D",2.2,3.25,3.25
"459",0.38,0.13,0.49,"D",2.5,3.3,2.8
"460",0.23,0.21,0.56,"D",2.3,3.2,3
"461",0.16,0.02,0.82,"H",2.1,3.3,3.5
"462",0.39,0.21,0.4,"D",2.38,3.25,3
"463",0.03,0.13,0.84,"H",2.1,3.3,3.5
"464",0.02,0.05,0.93,"H",1.4,4.5,8
"465",0.09,0.72,0.19,"D",2.2,3.3,3.25
"466",1,0,0,"A",10,5.25,1.29
"467",0.02,0.1,0.88,"H",1.36,4.5,9
"468",0.02,0.13,0.85,"D",1.61,3.4,6
"469",0.19,0.11,0.7,"H",1.73,3.5,5
"470",0.28,0.01,0.71,"H",3.2,3.3,2.25
"471",0.18,0.08,0.74,"A",1.67,3.6,5.25
"472",0,0.01,0.99,"H",1.13,8,19
"473",0.04,0.11,0.85,"H",2.4,3.3,2.88
"474",0.27,0.04,0.69,"H",2.88,3.2,2.5
"475",0.1,0.03,0.87,"H",2.1,3.3,3.5
"476",0.32,0.36,0.32,"A",2,3.3,3.75
"477",0.04,0.08,0.88,"H",1.57,3.75,6
"478",0.26,0.21,0.53,"H",1.7,3.5,5
"479",0.91,0.07,0.02,"A",11,5.25,1.29
"480",0.03,0.14,0.83,"D",1.29,5.25,11
"481",0,0.01,0.99,"H",1.13,8,19
